ID,TITLE,title_length,word_count,has_year,contains_love
415,_the life and death of peter sellers,36,7,0,0
416,"_you, me, and dupree",20,4,0,0
417,_the basketball diaries,23,3,0,0
418,_The Blue Tooth Virgin,22,4,0,0
419,_King Of California,19,3,0,0
420,_The Amateurs,13,2,0,0
421,_THE BUSINESS OF FALLING IN LOVE,32,6,0,1
422,_full METAL jacket,18,3,0,0
423,_NOWHERE BOY,12,2,0,0
424,california suite,16,2,0,0
425,_FREAKY FRIDAY,14,2,0,0
426,_call northside 777,19,3,0,0
427,_SHERLOCK HOLMES,16,2,0,0
428,_state of play,14,3,0,0
429,_sex and the single girl,24,5,0,0
430,_sex and the city,17,4,0,0
431,_sex and the city 2,19,5,0,0
432,_starstruck,11,1,0,0
433,THE FUNERAL PARTY,17,3,0,0
434,_the book of eli,16,4,0,0
435,_gentlemen broncos,18,2,0,0
436,_jennifer’s body,16,2,0,0
437,_Das Leuchten der Stille,24,4,0,0
438,_letters to juliet,18,3,0,0
439,_official selection,19,2,0,0
440,_front page woman,17,3,0,0
441,_tough guys don’t dance,23,4,0,0
442,_Throw Momma from the Train,27,5,0,0
443,_The Beaches of Agnès,21,4,0,0
444,_THErunAWAYS,12,1,0,0
445,_twin peaks: fire walk with me,30,6,0,0
446,أليس في بلاد العجائب,20,4,0,0
447,ალისა საოცარ ქვეყანაში,22,3,0,0
448,The Bitch Posse,15,3,0,0
449,Father Of Invention,19,3,0,0
450,Paranoid Park,13,2,0,0
451,Delírios Eróticos 1990 -kaufman;,32,4,1,0
452,HEREAFTER,9,1,0,0
453,THE POET,8,2,0,0
454,A CLOSED BOOK,13,3,0,0
455,You Will Meet a Tall Dark Stranger,34,7,0,0
456,diaryOFaWIMPYkid,16,1,0,0
457,kickASS,7,1,0,0
458,theLONGriders,13,1,0,0
459,the fellowship of the ring,26,5,0,0
460,the two towers,14,3,0,0
461,the return of the king,22,5,0,0
462,LUCKY DUCKS,11,2,0,0
463,edith’s diary,13,2,0,0
